,precision,recall,f1-score,support
fusion,1.0,0.45454545454545453,0.625,11.0
normal,0.9469759734879868,0.9682337992376112,0.9574869109947644,2361.0
other,0.8461538461538461,0.9565217391304348,0.8979591836734694,92.0
supraventricular,0.9494949494949495,0.7899159663865546,0.8623853211009175,238.0
ventricular,0.9027397260273973,0.8798397863818425,0.8911426639621366,749.0
accuracy,0.9348015068096204,0.9348015068096204,0.9348015068096204,0.9348015068096204
macro avg,0.929072899032836,0.8098113491363795,0.8467948159462576,3451.0
weighted avg,0.9350299275646506,0.9348015068096204,0.9338821800887441,3451.0
